,0,10,20,30,40,50,60,70,80,90,100
24,0.697511959,0.677748428,0.65971906,0.631514533,0.61159118,0.668964231,0.668466542,0.648173081,0.612200154,0.618500432,0.690055976
25,0.632996603,0.657105183,0.627417949,0.675164226,0.689438707,0.664803069,0.624265357,0.695533676,0.634438341,0.627843449,0.615949381
26,0.641219786,0.689688858,0.613741078,0.655219734,0.601236316,0.665396267,0.608966232,0.696425785,0.656804341,0.649753613,0.650817827
27,0.62201014,0.689265923,0.653521382,0.693522433,0.630435459,0.621633322,0.616379427,0.690641371,0.669388784,0.634943596,0.631918864
28,0.620517582,0.67320364,0.647082844,0.603248493,0.665541456,0.615727178,0.698395869,0.687997723,0.696049441,0.678143153,0.639332616
29,0.622850268,0.686762186,0.62233303,0.696948472,0.63285614,0.675711397,0.637720449,0.675977005,0.679345809,0.60849509,0.668491959
30,0.692402019,0.603118258,0.631289548,0.659230042,0.610580947,0.688918927,0.639127502,0.601990926,0.659773948,0.698498824,0.667117269
31,0.619384787,0.62380177,0.662857009,0.654065084,0.699397932,0.627220259,0.636350284,0.695335426,0.649672469,0.654331009,0.637351253
32,0.67360166,0.659968804,0.609431813,0.624930945,0.681750219,0.698753563,0.630843862,0.653230741,0.605576175,0.651358124,0.61927105
33,0.630468255,0.626958184,0.672025287,0.659237666,0.606930326,0.668378345,0.603752958,0.628898023,0.641035953,0.649146001,0.651167913
34,0.681324242,0.612383703,0.678029891,0.689065164,0.61520434,0.686309399,0.653156472,0.656714903,0.622898616,0.612167999,0.694277672
35,0.611277494,0.654215416,0.686857752,0.607476073,0.683826903,0.697328409,0.63795999,0.698094851,0.626504624,0.622772095,0.639911449
36,0.661437433,0.650139439,0.649632087,0.608359958,0.64971737,0.667497841,0.66109815,0.615486289,0.60934356,0.650817317,0.691850423
37,0.639362394,0.63219172,0.679174043,0.653424795,0.694782468,0.676781382,0.621801225,0.62677775,0.665201137,0.619804119,0.683750282
38,0.678815477,0.637831192,0.63136804,0.624279139,0.699419612,0.654330622,0.652216901,0.612114176,0.621165294,0.647766786,0.626923047
39,0.652297031,0.606361272,0.61488024,0.634985128,0.676842385,0.672251911,0.646573646,0.601243906,0.687595833,0.673197677,0.649073836
40,0.686160034,0.631132224,0.636742816,0.609801639,0.619043151,0.655563842,0.61793561,0.675585699,0.658052116,0.682528757,0.623174765
41,0.625407692,0.674972314,0.639882452,0.638039429,0.657291703,0.656690625,0.643849743,0.608386611,0.639260891,0.608885591,0.628122724
42,0.682363872,0.665588931,0.649736217,0.651610329,0.625857203,0.679408503,0.696107865,0.685972524,0.67790497,0.635271959,0.669672391
43,0.645913287,0.698673631,0.69087595,0.621657904,0.665446104,0.606833636,0.67439354,0.669405596,0.69531838,0.659332841,0.675409796
44,0.681120683,0.646506924,0.655437048,0.67199375,0.666545707,0.655741012,0.646668849,0.645561393,0.699606108,0.667238749,0.605483808
45,0.641559987,0.626820979,0.619427854,0.603435851,0.628386562,0.607280848,0.680545865,0.666109804,0.690978417,0.60904431,0.686662394
46,0.673481453,0.684324461,0.608915631,0.652080113,0.62241485,0.623349779,0.668795336,0.622545229,0.610457761,0.649986878,0.667518261
47,0.652967437,0.662609414,0.699593802,0.639875684,0.697761159,0.69089803,0.652488597,0.694892157,0.633762636,0.670931671,0.607075826
48,0.647309182,0.677078887,0.689836419,0.642713289,0.612151306,0.614169727,0.607608165,0.627556045,0.699245066,0.671654188,0.664822237
49,0.698351079,0.624342486,0.607491672,0.674982079,0.611271486,0.678395966,0.645805671,0.633085818,0.6853804,0.651301985,0.696709495
50,0.626945678,0.656138178,0.639519405,0.660921698,0.668344437,0.639794913,0.624381277,0.622411321,0.690147952,0.625441364,0.631445793
